# freq	per	pow	amp
 1.2493591688988877E-001	 8.0041034227278427E+000	 3.3358558322969567E-001	 1.3889412287859133E-002
 1.2625799008449076E-001	 7.9202908214427348E+000	 2.8699777271002931E-002	 4.0358791750311363E-003
 1.2758006327909277E-001	 7.8382152688889235E+000	 2.0094547447910543E-001	 1.0832352729068406E-002
 1.2890213647369478E-001	 7.7578233174131386E+000	 7.9461954371149901E-001	 2.1659072035846483E-002
 1.3022420966829679E-001	 7.6790636898251874E+000	 1.2327481377003482E+000	 2.6588132971566588E-002
 1.3154628286289879E-001	 7.6018871703294568E+000	 2.5283908601889271E+000	 3.8716680458391099E-002
 1.3286835605750080E-001	 7.5262465019679690E+000	 7.6597148755556859E+000	 6.8552544518158218E-002
 1.3419042925210281E-001	 7.4520962901259189E+000	 1.5666126856237538E+001	 9.8069109817933486E-002
 1.3551250244670482E-001	 7.3793929116856658E+000	 2.7060225340493439E+001	 1.2580564141057218E-001
 1.3683457564130683E-001	 7.3080944294471566E+000	 5.7235163576536166E+001	 1.8329285223069214E-001
 1.3815664883590884E-001	 7.2381605114620156E+000	 1.0525689584627982E+002	 2.5029878366626029E-001
 1.3947872203051084E-001	 7.1695523549552664E+000	 1.2715856914631399E+002	 2.7311909493499115E-001
 1.4080079522511285E-001	 7.1022326145331505E+000	 1.0181829610959899E+002	 2.4749818576980151E-001
 1.4212286841971486E-001	 7.0361653343979578E+000	 4.9820777742351851E+001	 1.7207058815215745E-001
 1.4344494161431687E-001	 6.9713158843113403E+000	 1.9167285999421072E+001	 1.0697114096368622E-001
 1.4476701480891888E-001	 6.9076508990664873E+000	 9.5153562287430713E+000	 7.2664264889702984E-002
 1.4608908800352088E-001	 6.8451382212468808E+000	 5.4877817352437193E+000	 5.6251484644711691E-002
 1.4741116119812289E-001	 6.7837468470652942E+000	 1.8913781463747732E+000	 3.3436260551029641E-002
 1.4873323439272490E-001	 6.7234468750913798E+000	 1.6430015439129892E+000	 3.1559070362175784E-002
 1.5005530758732691E-001	 6.6642094576896937E+000	 2.4817823547330145E+000	 3.8781503220820197E-002
 1.5137738078192892E-001	 6.6060067550024471E+000	 2.0536036254332095E+000	 3.5596093741317746E-002
 1.5269945397653092E-001	 6.5488118913227717E+000	 9.5020073670947358E-001	 2.3620935562867144E-002
 1.5402152717113293E-001	 6.4925989137148505E+000	 4.3076936682430605E-001	 1.5609861529363380E-002
 1.5534360036573494E-001	 6.4373427527470639E+000	 5.2473680384589372E-001	 1.7582524152400976E-002
