2460493.4284	3.7			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460493.437	3.5			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460493.63542	3.4			Vis.	BQE		34		10 star tutorial	SQM 16.24	No		G				Eta Aql		STD					
2460494.437	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460494.4388	3.7			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460495.37569	3.6			Vis.	MPTA	U	34	37	10 star tutorial	B 10x50mm	No		G				Eta Aql		STD					
2460495.4562	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460496.4285	4.1			Vis.	CME		37	44	12611AYJ	BIN. 7x50	No		G				ETA AQL		STD					
2460497.6486	4.1			Vis.	BGZ	U	37	44	X22749BYO		No		G				ETA AQL		STD					
2460497.68125	4.5			Vis.	SSHA		44	49	10star		No		G				ETA AQL		STD					
2460498.366	4.4			Vis.	REP		37	44	1990		No		G				ETA AQL		STD					
2460498.4791	4.0			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460498.62778	4.0			Vis.	BQE		37	44	10 star tutorial	SQM 20.72	No		G				Eta Aql		STD					
2460498.66944	4.15			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460499.37361	4.1			Vis.	MPTA		37	44	10 star tutorial	B 10x50mm	No		G				Eta Aql		STD					
2460499.4736	3.9			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460500.36389	3.6			Vis.	KSQ	BWV	34	37	10STAR		No		G				ETA AQL		STD					
2460500.375	3.6			Vis.	CME	U	34	37	12611AYJ	BIN. 7x50 - LIGHT HAZE	No		G				ETA AQL		STD					
2460500.409	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460501.459	3.7			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460501.4715	3.81			Vis.	DPV		3.71	4.02	OSE2001		No		G				ETA AQL		STD					
2460501.6062	3.8			Vis.	SPAO		34	47	X25625YU		No		G				ETA Aql		STD					
2460502.3736	3.9			Vis.	CME	U	37	44	12611AYJ	BIN. 7x50 - LIGHT HAZE	No		G				ETA AQL		STD					
2460502.418	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460502.4708	3.87			Vis.	DPV		3.71	4.02	OSE2001		No		G				ETA AQL		STD					
2460503.416	3.7			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460503.434	3.9			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460503.64236	4.1			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460504.35139	4.2			Vis.	KSQ	BV	37	44	10STAR		No		G				ETA AQL		STD					
2460504.361	4.0			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460504.466	4.13			Vis.	DPV		4.02	4.36	OSE2001		No		G				ETA AQL		STD					
2460504.4812	4.0			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460504.66667	3.9			Vis.	BQE		32	37	10 star tutorial	SQM 17.90	No		G				Eta Aql		STD					
2460505.4534	4.2			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460505.4785	4.25			Vis.	DPV		4.02	4.36	OSE2001		No		G				ETA AQL		STD					
2460505.62847	4.5			Vis.	SSHA		44	49	10star		No		G				ETA AQL		STD					
2460506.3993	4.0			Vis.	CME	B	37	44	12611AYJ	BIN. 7x50 - MOON	No		G				ETA AQL		STD					
2460506.4479	4.1			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460506.458	3.8			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460507.4229	3.5			Vis.	CME	BU	34	37	12611AYJ	BIN. 7x50 - LIGHT HAZE, MOON	No		G				ETA AQL		STD					
2460507.4263	3.6			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460507.458	3.5			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460507.65972	3.6			Vis.	SSHA		37	34	10star		No		G				ETA AQL		STD					
2460507.74028	3.9			Vis.	CANG		34	45	X28101EBU	10x50 Bino's	No		G				Eta Aql		STD					
2460508.4402	3.7			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460508.451	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460510.3528	4.1			Vis.	CME	BU	37	44	12611AYJ	BIN. 7x50 - HAZE, MOON	No		G				ETA AQL		STD					
2460510.5382	4.19			Vis.	DPV		4.02	4.36	OSE2001		No		G				ETA AQL		STD					
2460510.5938	3.9			Vis.	SPAO		34	47	X25625YU		No		G				ETA Aql		STD					
2460510.67847	3.8			Vis.	BQE		37	44	10 star tutorial	SQM 17.85	No		G				Eta Aql		STD					
2460512.425	4.2			Vis.	CME	B	37	44	12611AYJ	BIN. 7x50 - FULL MOON	No		G				ETA AQL		STD					
2460513.3417	4.2			Vis.	REP		37	44	1990		No		G				ETA AQL		STD					
2460514.341	3.6			Vis.	CME	U	34	37	12611AYJ	BIN. 7x50 - HAZE	No		G				ETA AQL		STD					
2460514.3909	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460514.39792	3.5			Vis.	MPTA		34	37	10 star tutorial	B 10x42mm	No		G				Eta Aql		STD					
2460515.63264	3.6			Vis.	SSHA		37	34	10star		No		G				ETA AQL		STD					
2460517.5785	3.8			Vis.	SPAO		34	47	X25625YU		No		G				ETA Aql		STD					
2460517.6188	3.9			Vis.	BGZ		37	0	X22749BYO		No		G				ETA AQL		STD					
2460517.64375	4.0			Vis.	BQE		37	44	10 star tutorial	SQM 17.25	No		G				Eta Aql		STD					
2460517.67361	4.1			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460518.3916	4.1			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460518.66111	4.25			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460519.4124	4.2			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460520.59896	4.15			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460520.65972	3.5			Vis.	BQE		37	32	10 star tutorial	SQM 17.81	No		G				Eta Aql		STD					
2460521.4056	3.6			Vis.	CME	U	34	37	12611AYJ	BIN. 7x50 - HAZE	No		G				ETA AQL		STD					
2460521.444	3.5			Vis.	MQA	B	3.7		AAVSO		No		G				ETA AQL		STD					
2460521.6236	3.5			Vis.	BGZ		34	37	X22749BYO		No		G				ETA AQL		STD					
2460521.64306	4.0			Vis.	SSHA		37	44	10star		No		G				ETA AQL		STD					
2460522.3194	3.7			Vis.	REP		37	44	1990		No		G				ETA AQL		STD					
2460522.4034	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460522.458	3.5			Vis.	MQA	B	3.7		AAVSO		No		G				ETA AQL		STD					
2460522.4819	3.62			Vis.	DPV		3.36	3.71	OSE2001		No		G				ETA AQL		STD					
2460522.6208	3.6			Vis.	BGZ		34	37	X22749BYO		No		G				ETA AQL		STD					
2460522.65278	4.0			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460523.3937	4.1			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460523.437	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460523.5424	3.6			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460523.60417	3.9			Vis.	SSHA		37	44	10star		No		G				ETA AQL		STD					
2460523.66806	4.2			Vis.	EMAC		34	44	X36127AM		No		G				eta Aql		STD					
2460524.3874	4.0			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460524.4417	3.9			Vis.	CME		37	44	12611AYJ	BIN. 7x50	No		G				ETA AQL		STD					
2460524.4521	3.8			Vis.	LMMB		37	40	NA		No		G				ETA AQL		STD					
2460525.437	4.1			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460526.434	4.2			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460527.418	4.1			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460527.58819	4.25			Vis.	SSHA		44	37	10star		No		G				ETA AQL		STD					
2460527.625	4.0			Vis.	JNCA	B	37	44	Sky Safari 4 Pro	Binoculars 7x50 6.5°	No		G				Eta Aql		STD					
2460528.3396	3.6			Vis.	CME	U	34	37	12611AYJ	BIN. 7x50 - LIGHT HAZE	No		G				ETA AQL		STD					
2460528.388	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460528.3937	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460528.63542	3.6			Vis.	SSHA		37	34	10star		No		G				ETA AQL		STD					
2460529.4006	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460529.7054	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460530.4034	3.9			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460530.5938	4.0			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460530.7131	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460531.38889	4.2			Vis.	FERA		3.4	4.4	10 star		No		G				eta AQL		STD					
2460531.395	3.7			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460531.4292	4.0			Vis.	CME		37	44	12611AYJ	BIN. 7x50	No		G				ETA AQL		STD					
2460531.6313	4.1			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460531.6998	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460532.33681	3.9			Vis.	KSQ		37	44	10STAR		No		G				ETA AQL		STD					
2460532.402	4.0			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460532.4034	4.0			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460532.4167	3.4			Vis.	WBOA		4.2	3.4	X15301GE 		No		G				Eta aql		STD					
2460532.65278	3.9			Vis.	BQE		37	32	10 star tutorial	SQM 17.83	No		G				Eta Aql		STD					
2460533.334	3.0			Vis.	SPAO		34		X25625YU		No		G				ETA Aql		STD					
2460533.4361	4.2			Vis.	MJZ		3.5	4.5	X24744US		No		G				Eta Aql		STD					
2460533.4757	3.9			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460533.5868	4.0			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460534.32014	4.4			Vis.	KSQ		44		10STAR		No		G				ETA AQL		STD					
2460534.3847	4.2			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
