# freq	per	pow	amp
 1.0369999999999960E-001	 9.6432015429122835E+000	 4.5529076364678396E+000	 5.1065829591238732E-002
 1.0374999999999959E-001	 9.6385542168675080E+000	 4.5645789567376989E+000	 5.1142176786447203E-002
 1.0379999999999959E-001	 9.6339113680154522E+000	 4.5758510496707476E+000	 5.1216909456715455E-002
 1.0384999999999958E-001	 9.6292729898893015E+000	 4.5867199640352796E+000	 5.1290029765321349E-002
 1.0389999999999958E-001	 9.6246390760346880E+000	 4.5971781089678654E+000	 5.1361508730097864E-002
 1.0394999999999957E-001	 9.6200096200096592E+000	 4.6072142292354901E+000	 5.1431285787835478E-002
 1.0399999999999957E-001	 9.6153846153846558E+000	 4.6168134235521103E+000	 5.1499268763648867E-002
 1.0404999999999956E-001	 9.6107640557424716E+000	 4.6259571937148722E+000	 5.1565334173047803E-002
 1.0409999999999955E-001	 9.6061479346782352E+000	 4.6346235306043733E+000	 5.1629327893651794E-002
 1.0414999999999955E-001	 9.6015362457993696E+000	 4.6427870310013546E+000	 5.1691066157689015E-002
 1.0419999999999954E-001	 9.5969289827255704E+000	 4.6504190574416162E+000	 5.1750336927490627E-002
 1.0424999999999954E-001	 9.5923261390887724E+000	 4.6574879169863905E+000	 5.1806901503056987E-002
 1.0429999999999953E-001	 9.5877277085331212E+000	 4.6639590777585331E+000	 5.1860496458919783E-002
 1.0434999999999953E-001	 9.5831336847149444E+000	 4.6697954091052303E+000	 5.1910835805537042E-002
 1.0439999999999952E-001	 9.5785440613027255E+000	 4.6749574472548217E+000	 5.1957613377506956E-002
 1.0444999999999952E-001	 9.5739588319770661E+000	 4.6794036803053647E+000	 5.2000505390998514E-002
 1.0449999999999951E-001	 9.5693779904306666E+000	 4.6830908540676974E+000	 5.2039173160369268E-002
 1.0454999999999950E-001	 9.5648015303682907E+000	 4.6859742902916324E+000	 5.2073265913049685E-002
 1.0459999999999950E-001	 9.5602294455067387E+000	 4.6880082162803847E+000	 5.2102423672796688E-002
 1.0464999999999949E-001	 9.5556617295748190E+000	 4.6891461063281348E+000	 5.2126280206309258E-002
 1.0469999999999949E-001	 9.5510983763133233E+000	 4.6893410188535913E+000	 5.2144465916106011E-002
 1.0474999999999948E-001	 9.5465393794749875E+000	 4.6885459448946962E+000	 5.2156610767702088E-002
 1.0479999999999948E-001	 9.5419847328244742E+000	 4.6867141456349728E+000	 5.2162347096877622E-002
 1.0484999999999947E-001	 9.5374344301383402E+000	 4.6837994876007905E+000	 5.2161312350414060E-002
 1.0489999999999947E-001	 9.5328884652050050E+000	 4.6797567701088401E+000	 5.2153151711993383E-002
 1.0494999999999946E-001	 9.5283468318247273E+000	 4.6745420358807896E+000	 5.2137520556062605E-002
 1.0499999999999945E-001	 9.5238095238095735E+000	 4.6681128723247962E+000	 5.2114086770959495E-002
 1.0504999999999945E-001	 9.5192765349833905E+000	 4.6604286914708748E+000	 5.2082532872255727E-002
 1.0509999999999944E-001	 9.5147478591817816E+000	 4.6514509948193128E+000	 5.2042557949430739E-002
 1.0514999999999944E-001	 9.5102234902520717E+000	 4.6411436111933595E+000	 5.1993879368934438E-002
 1.0519999999999943E-001	 9.5057034220532834E+000	 4.6294729180314711E+000	 5.1936234296171169E-002
 1.0524999999999943E-001	 9.5011876484561082E+000	 4.6164080320972039E+000	 5.1869380963007299E-002
 1.0529999999999942E-001	 9.4966761633428813E+000	 4.6019209826240548E+000	 5.1793099747825311E-002
 1.0534999999999942E-001	 9.4921689606075521E+000	 4.5859868496979415E+000	 5.1707193983018866E-002
 1.0539999999999941E-001	 9.4876660341556516E+000	 4.5685838865613455E+000	 5.1611490593701841E-002
 1.0544999999999941E-001	 9.4831673779042731E+000	 4.5496936061267990E+000	 5.1505840459693510E-002
 1.0549999999999940E-001	 9.4786729857820440E+000	 4.5293008509928603E+000	 5.1390118617933508E-002
 1.0554999999999939E-001	 9.4741828517290934E+000	 4.5073938285096506E+000	 5.1264224202089675E-002
 1.0559999999999939E-001	 9.4696969696970239E+000	 4.4839641300530548E+000	 5.1128080230822097E-002
 1.0564999999999938E-001	 9.4652153336488958E+000	 4.4590067231941735E+000	 5.0981633188341612E-002
 1.0569999999999938E-001	 9.4607379375591858E+000	 4.4325199175286327E+000	 5.0824852398026005E-002
 1.0574999999999937E-001	 9.4562647754137679E+000	 4.4045053194058372E+000	 5.0657729289861217E-002
 1.0579999999999937E-001	 9.4517958412098864E+000	 4.3749677554144553E+000	 5.0480276439392957E-002
 1.0584999999999936E-001	 9.4473311289561277E+000	 4.3439151875119260E+000	 5.0292526516508722E-002
 1.0589999999999936E-001	 9.4428706326723901E+000	 4.3113586091262048E+000	 5.0094531086866761E-002
 1.0594999999999935E-001	 9.4384143463898642E+000	 4.2773119258065408E+000	 4.9886359285916206E-002
 1.0599999999999934E-001	 9.4339622641510026E+000	 4.2417918233121101E+000	 4.9668096387029653E-002
 1.0604999999999934E-001	 9.4295143800094881E+000	 4.2048176316669021E+000	 4.9439842313248168E-002
 1.0609999999999933E-001	 9.4250706880302193E+000	 4.1664111700364899E+000	 4.9201710009911227E-002
 1.0614999999999933E-001	 9.4206311822892737E+000	 4.1265965988768007E+000	 4.8953823832761763E-002
 1.0619999999999932E-001	 9.4161958568738822E+000	 4.0854002555520275E+000	 4.8696317819441490E-002
 1.0624999999999932E-001	 9.4117647058824137E+000	 4.0428504972398391E+000	 4.8429333982483475E-002
 1.0629999999999931E-001	 9.4073377234243321E+000	 3.9989775362961537E+000	 4.8153020546316296E-002
 1.0634999999999931E-001	 9.4029149036201840E+000	 3.9538132826198473E+000	 4.7867530214344187E-002
 1.0639999999999930E-001	 9.3984962406015651E+000	 3.9073911888441080E+000	 4.7573018455347033E-002
 1.0644999999999930E-001	 9.3940817285111002E+000	 3.8597460964356474E+000	 4.7269641790017039E-002
 1.0649999999999929E-001	 9.3896713615024101E+000	 3.8109140918943170E+000	 4.6957556157448475E-002
 1.0654999999999928E-001	 9.3852651337400914E+000	 3.7609323717829732E+000	 4.6636915346499462E-002
 1.0659999999999928E-001	 9.3808630393996886E+000	 3.7098391143445650E+000	 4.6307869498351723E-002
 1.0664999999999927E-001	 9.3764650726676688E+000	 3.6576733631307818E+000	 4.5970563713747414E-002
 1.0669999999999927E-001	 9.3720712277413956E+000	 3.6044749211956106E+000	 4.5625136774073774E-002
 1.0674999999999926E-001	 9.3676814988291053E+000	 3.5502842604209355E+000	 4.5271720005774438E-002
 1.0679999999999926E-001	 9.3632958801498773E+000	 3.4951424383249585E+000	 4.4910436259744495E-002
 1.0684999999999925E-001	 9.3589143659336180E+000	 3.4390910321855763E+000	 4.4541399067890453E-002
 1.0689999999999925E-001	 9.3545369504210196E+000	 3.3821720868928851E+000	 4.4164711975163681E-002
 1.0694999999999924E-001	 9.3501636278635534E+000	 3.3244280717862265E+000	 4.3780468015492090E-002
 1.0699999999999923E-001	 9.3457943925234321E+000	 3.2659018544333067E+000	 4.3388749400884219E-002
 1.0704999999999923E-001	 9.3414292386735838E+000	 3.2066366865047113E+000	 4.2989627396526953E-002
 1.0709999999999922E-001	 9.3370681605976404E+000	 3.1466761994781995E+000	 4.2583162373605328E-002
 1.0714999999999922E-001	 9.3327111525898960E+000	 3.0860644145034111E+000	 4.2169404080858494E-002
 1.0719999999999921E-001	 9.3283582089552919E+000	 3.0248457590580253E+000	 4.1748392084098113E-002
 1.0724999999999921E-001	 9.3240093240093938E+000	 2.9630650944837362E+000	 4.1320156410203215E-002
 1.0729999999999920E-001	 9.3196644920783545E+000	 2.9007677513201169E+000	 4.0884718377305174E-002
 1.0734999999999920E-001	 9.3153237074989050E+000	 2.8379995676840655E+000	 4.0442091576076686E-002
 1.0739999999999919E-001	 9.3109869646183192E+000	 2.7748069375138975E+000	 3.9992283054513161E-002
 1.0744999999999919E-001	 9.3066542577943938E+000	 2.7112368536234426E+000	 3.9535294594989501E-002
 1.0749999999999918E-001	 9.3023255813954204E+000	 2.6473369605150294E+000	 3.9071124187870898E-002
 1.0754999999999917E-001	 9.2980009298001640E+000	 2.5831555979309999E+000	 3.8599767561655542E-002
 1.0759999999999917E-001	 9.2936802973978416E+000	 2.5187418480108503E+000	 3.8121219855173596E-002
 1.0764999999999916E-001	 9.2893636785880886E+000	 2.4541455760881092E+000	 3.7635477352677790E-002
 1.0769999999999916E-001	 9.2850510677809446E+000	 2.3894174633922041E+000	 3.7142539259994591E-002
 1.0774999999999915E-001	 9.2807424593968246E+000	 2.3246090363181149E+000	 3.6642409550169855E-002
 1.0779999999999915E-001	 9.2764378478664931E+000	 2.2597726822971738E+000	 3.6135098787889446E-002
 1.0784999999999914E-001	 9.2721372276310436E+000	 2.1949616586279515E+000	 3.5620625975175756E-002
 1.0789999999999914E-001	 9.2678405931418730E+000	 2.1302300889472963E+000	 3.5099020367963585E-002
 1.0794999999999913E-001	 9.2635479388606576E+000	 2.0656329470037993E+000	 3.4570323244184950E-002
 1.0799999999999912E-001	 9.2592592592593341E+000	 2.0012260282011205E+000	 3.4034589623126200E-002
 1.0804999999999912E-001	 9.2549745488200656E+000	 1.9370659068108453E+000	 3.3491889907180002E-002
 1.0809999999999911E-001	 9.2506938020352276E+000	 1.8732098807270043E+000	 3.2942311450690182E-002
 1.0814999999999911E-001	 9.2464170134073811E+000	 1.8097159025652574E+000	 3.2385960044172116E-002
 1.0819999999999910E-001	 9.2421441774492443E+000	 1.7466424958764035E+000	 3.1822961292416976E-002
 1.0824999999999910E-001	 9.2378752886836804E+000	 1.6840486604387477E+000	 3.1253461920015518E-002
 1.0829999999999909E-001	 9.2336103416436597E+000	 1.6219937660664323E+000	 3.0677630996882643E-002
 1.0834999999999909E-001	 9.2293493308722514E+000	 1.5605374313954836E+000	 3.0095661055369274E-002
 1.0839999999999908E-001	 9.2250922509225877E+000	 1.4997393983247016E+000	 2.9507769196729507E-002
 1.0844999999999907E-001	 9.2208390963578477E+000	 1.4396593909954083E+000	 2.8914198094349843E-002
 1.0849999999999907E-001	 9.2165898617512312E+000	 1.3803569738104342E+000	 2.8315217040313579E-002
 1.0854999999999906E-001	 9.2123445416859386E+000	 1.3218913982775369E+000	 2.7711122952133051E-002
 1.0859999999999906E-001	 9.2081031307551449E+000	 1.2643214476320996E+000	 2.7102241446955437E-002
 1.0864999999999905E-001	 9.2038656235619758E+000	 1.2077052794012717E+000	 2.6488928012232574E-002
 1.0869999999999905E-001	 9.1996320147194925E+000	 1.1521002615384692E+000	 2.5871569249744788E-002
 1.0874999999999904E-001	 9.1954022988506559E+000	 1.0975628153232555E+000	 2.5250584376185568E-002
 1.0879999999999904E-001	 9.1911764705883172E+000	 1.0441482533618973E+000	 2.4626426891334201E-002
 1.0884999999999903E-001	 9.1869545245751851E+000	 9.9191062380003892E-001	 2.3999586587690195E-002
 1.0889999999999903E-001	 9.1827364554638109E+000	 9.4090255613584806E-001	 2.3370591904457238E-002
 1.0894999999999902E-001	 9.1785222579165584E+000	 8.9117511320989085E-001	 2.2740012748297383E-002
 1.0899999999999901E-001	 9.1743119266055881E+000	 8.4277764772456609E-001	 2.2108463833523398E-002
 1.0904999999999901E-001	 9.1701054562128306E+000	 7.9575766567081962E-001	 2.1476608658680559E-002
 1.0909999999999900E-001	 9.1659028414299648E+000	 7.5016069743295810E-001	 2.0845164227571943E-002
 1.0914999999999900E-001	 9.1617040769583991E+000	 7.0603017439412752E-001	 2.0214906591011120E-002
 1.0919999999999899E-001	 9.1575091575092422E+000	 6.6340731635530059E-001	 1.9586677403846061E-002
 1.0924999999999899E-001	 9.1533180778032879E+000	 6.2233102429386544E-001	 1.8961391547346881E-002
 1.0929999999999898E-001	 9.1491308325709912E+000	 5.8283778198171055E-001	 1.8340045998041746E-002
 1.0934999999999898E-001	 9.1449474165524407E+000	 5.4496156830353848E-001	 1.7723730105093066E-002
 1.0939999999999897E-001	 9.1407678244973436E+000	 5.0873377454299618E-001	 1.7113637306807553E-002
 1.0944999999999896E-001	 9.1365920511650014E+000	 4.7418313135415924E-001	 1.6511078437627464E-002
 1.0949999999999896E-001	 9.1324200913242883E+000	 4.4133564384191676E-001	 1.5917496625237098E-002
 1.0954999999999895E-001	 9.1282519397536248E+000	 4.1021453457034074E-001	 1.5334483685732665E-002
 1.0959999999999895E-001	 9.1240875912409631E+000	 3.8084019402993247E-001	 1.4763797745372353E-002
 1.0964999999999894E-001	 9.1199270405837627E+000	 3.5323013903983186E-001	 1.4207381569948895E-002
 1.0969999999999894E-001	 9.1157702825889668E+000	 3.2739897927011080E-001	 1.3667380689611965E-002
 1.0974999999999893E-001	 9.1116173120729815E+000	 3.0335839102507689E-001	 1.3146159842291508E-002
 1.0979999999999893E-001	 9.1074681238616559E+000	 2.8111709887761055E-001	 1.2646315554645645E-002
 1.0984999999999892E-001	 9.1033227127902574E+000	 2.6068086497481102E-001	 1.2170681752142441E-002
 1.0989999999999892E-001	 9.0991810737034573E+000	 2.4205248673954477E-001	 1.1722324249408278E-002
 1.0994999999999891E-001	 9.0950432014552973E+000	 2.2523180223967215E-001	 1.1304518895035091E-002
 1.0999999999999890E-001	 9.0909090909091823E+000	 2.1021570410106732E-001	 1.0920707408391368E-002
 1.1004999999999890E-001	 9.0867787369378465E+000	 1.9699816216781760E-001	 1.0574424935032340E-002
 1.1009999999999889E-001	 9.0826521344233431E+000	 1.8557025465477947E-001	 1.0269194694309711E-002
 1.1014999999999889E-001	 9.0785292782570135E+000	 1.7592020780725309E-001	 1.0008388487398597E-002
 1.1019999999999888E-001	 9.0744101633394756E+000	 1.6803344607551290E-001	 9.7950576130489339E-003
 1.1024999999999888E-001	 9.0702947845805912E+000	 1.6189264993914476E-001	 9.6317462392532180E-003
 1.1029999999999887E-001	 9.0661831368994577E+000	 1.5747782443521874E-001	 9.5203073871532786E-003
 1.1034999999999887E-001	 9.0620752152243789E+000	 1.5476637649857272E-001	 9.4617471140667833E-003
 1.1039999999999886E-001	 9.0579710144928480E+000	 1.5373320067091584E-001	 9.4561227798165663E-003
 1.1044999999999885E-001	 9.0538705296515207E+000	 1.5435077600829453E-001	 9.5025146893799959E-003
 1.1049999999999885E-001	 9.0497737556562026E+000	 1.5658926853473865E-001	 9.5990774763543823E-003
 1.1054999999999884E-001	 9.0456806874718261E+000	 1.6041664561561447E-001	 9.7431630280047539E-003
 1.1059999999999884E-001	 9.0415913200724276E+000	 1.6579879463994926E-001	 9.9314939549129521E-003
 1.1064999999999883E-001	 9.0375056484411260E+000	 1.7269965084557279E-001	 1.0160360847108996E-002
 1.1069999999999883E-001	 9.0334236675701050E+000	 1.8108133053064368E-001	 1.0425817199841573E-002
 1.1074999999999882E-001	 9.0293453724605932E+000	 1.9090426941694366E-001	 1.0723852197067211E-002
 1.1079999999999882E-001	 9.0252707581228400E+000	 2.0212736652762536E-001	 1.1050529951261314E-002
 1.1084999999999881E-001	 9.0211998195761005E+000	 2.1470812897607439E-001	 1.1402091552067520E-002
 1.1089999999999881E-001	 9.0171325518486096E+000	 2.2860282169155105E-001	 1.1775022280878702E-002
 1.1094999999999880E-001	 9.0130689499775656E+000	 2.4376661632123231E-001	 1.2166089354326080E-002
 1.1099999999999879E-001	 9.0090090090091071E+000	 2.6015374006093489E-001	 1.2572356932082538E-002
 1.1104999999999879E-001	 9.0049527239982972E+000	 2.7771762440221986E-001	 1.2991184875908134E-002
 1.1109999999999878E-001	 9.0009000900091003E+000	 2.9641105018846781E-001	 1.3420216718536705E-002
 1.1114999999999878E-001	 8.9968511021143591E+000	 3.1618628939940158E-001	 1.3857361200312453E-002
 1.1119999999999877E-001	 8.9928057553957821E+000	 3.3699524328655406E-001	 1.4300770546330619E-002
 1.1124999999999877E-001	 8.9887640449439203E+000	 3.5878957310930959E-001	 1.4748817599436376E-002
 1.1129999999999876E-001	 8.9847259658581411E+000	 3.8152082751060185E-001	 1.5200073324349778E-002
 1.1134999999999876E-001	 8.9806915132466205E+000	 4.0514055928038256E-001	 1.5653285389391050E-002
 1.1139999999999875E-001	 8.9766606822263117E+000	 4.2960043765100731E-001	 1.6107358421526372E-002
 1.1144999999999874E-001	 8.9726334679229360E+000	 4.5485235051804063E-001	 1.6561336019212395E-002
 1.1149999999999874E-001	 8.9686098654709543E+000	 4.8084849783969635E-001	 1.7014384583530384E-002
 1.1154999999999873E-001	 8.9645898700135493E+000	 5.0754147916052894E-001	 1.7465778951096446E-002
 1.1159999999999873E-001	 8.9605734767026117E+000	 5.3488436798521077E-001	 1.7914889569824229E-002
 1.1164999999999872E-001	 8.9565606806987148E+000	 5.6283078042487578E-001	 1.8361171204400409E-002
 1.1169999999999872E-001	 8.9525514771710970E+000	 5.9133493381190827E-001	 1.8804152931896020E-002
 1.1174999999999871E-001	 8.9485458612976423E+000	 6.2035169650657562E-001	 1.9243429298037927E-002
 1.1179999999999871E-001	 8.9445438282648624E+000	 6.4983663035397421E-001	 1.9678652509977440E-002
 1.1184999999999870E-001	 8.9405453732678737E+000	 6.7974602339468504E-001	 2.0109525496778205E-002
 1.1189999999999869E-001	 8.9365504915103813E+000	 7.1003691699495974E-001	 2.0535795783697654E-002
 1.1194999999999869E-001	 8.9325591782046594E+000	 7.4066712402635215E-001	 2.0957250021482455E-002
 1.1199999999999868E-001	 8.9285714285715336E+000	 7.7159524234980315E-001	 2.1373709144091507E-002
